Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
017860,KR7017860008,DS단석,KOSPI,,18320,2,-320,-1.72,18640,18800,18280,47910,883128315,322142763840,17584212,STK
001510,KR7001510007,SK증권,KOSPI,,681,1,14,2.1,667,689,667,3762862,2568436808,321833906451,472590171,STK
011930,KR7011930005,신성이엔지,KOSPI,,1562,2,-55,-3.4,1620,1635,1557,2304408,3643340023,321534811862,205848151,STK
012200,KR7012200002,계양전기,KOSPI,,11750,2,-190,-1.59,11890,12470,11200,4064458,48252669080,319868240750,27222829,STK
138490,KR7138490008,코오롱ENP,KOSPI,,8370,2,-170,-1.99,8550,8720,8300,88367,750765555,318060000000,38000000,STK
034830,KR7034830000,한국토지신탁,KOSPI,,1220,1,18,1.5,1207,1223,1197,375889,455516923,308036860600,252489230,STK
012030,KR7012030003,DB,KOSPI,,1529,1,31,2.07,1501,1577,1501,439868,678895734,307594943557,201173933,STK
017390,KR7017390006,서울가스,KOSPI,,61500,2,-100,-0.16,61600,61900,60600,3249,199852100,307500000000,5000000,STK
005720,KR7005720008,넥센,KOSPI,,5730,1,40,0.7,5700,5850,5660,26364,151109220,306806988210,53543977,STK
377190,KR7377190004,디앤디플랫폼리츠,KOSPI,,3435,2,-40,-1.15,3475,3480,3435,89080,307441926,303654000000,88400000,STK
009290,KR7009290008,광동제약,KOSPI,,5790,3,0,0.0,5750,5830,5740,57186,330741510,303516727290,52420851,STK
005090,KR7005090006,SGC에너지,KOSPI,,21000,1,350,1.69,20650,21100,20600,19297,404051775,302595993000,14409333,STK
092230,KR7092230002,KPX홀딩스,KOSPI,,71600,2,-400,-0.56,72000,72700,71300,1607,115133300,302484653600,4224646,STK
003920,KR7003920006,남양유업,KOSPI,,50400,2,-100,-0.2,50800,50900,50100,2508,126556500,302400000000,6000000,STK
241590,KR7241590009,화승엔터프라이즈,KOSPI,,4985,1,15,0.3,4970,5050,4960,64319,321493895,302037540860,60589276,STK
002320,KR7002320000,한진,KOSPI,,19770,1,210,1.07,19600,19890,19540,12916,255244975,301196147700,15235010,STK
123890,KR7123890006,한국자산신탁,KOSPI,,2460,2,-20,-0.81,2495,2505,2450,95877,237154069,301039857960,122373926,STK
002310,KR7002310001,아세아제지,KOSPI,,7400,2,-60,-0.8,7410,7520,7400,48315,359351820,299570574000,40482510,STK
033270,KR7033270000,유나이티드제약,KOSPI,,18310,1,10,0.05,18460,18460,18150,33286,607355060,299072280820,16333822,STK
001820,KR7001820000,삼화콘덴서,KOSPI,,28750,2,-350,-1.2,29700,29700,28700,26753,773468075,298856250000,10395000,STK
128820,KR7128820008,대성산업,KOSPI,,6450,1,60,0.94,6470,6580,6340,1062400,6883341070,291768833100,45235478,STK
334890,KR7334890001,이지스밸류플러스리츠,KOSPI,,4180,2,-15,-0.36,4195,4205,4175,63591,266135785,290295494940,69448683,STK
011760,KR7011760006,현대코퍼레이션,KOSPI,,21750,1,150,0.69,21750,21850,21500,20151,437290975,287730010500,13228966,STK
009680,KR7009680000,모토닉,KOSPI,,10240,1,60,0.59,10170,10340,10140,19494,199315050,287232000000,28050000,STK
003200,KR7003200003,일신방직,KOSPI,,12450,1,850,7.33,12000,12800,11880,91470,1135000810,285852000000,22960000,STK
000490,KR7000490003,대동,KOSPI,,9880,1,60,0.61,9820,9910,9700,95963,943977070,284809426200,28826865,STK
033530,KR7033530007,SJG세종,KOSPI,,10200,2,-180,-1.73,10480,10880,10110,1354547,14219725355,283773802200,27820961,STK
900140,KYG5307W1015,엘브이엠씨홀딩스,KOSPI,,1455,2,-29,-1.95,1485,1488,1452,414290,605428557,281164828560,193240432,STK
006340,KR7006340004,대원전선,KOSPI,,3640,1,10,0.28,3645,3710,3595,1405055,5105818763,280551802440,77074671,STK
010580,KR7010580009,에스엠벡셀,KOSPI,,2510,2,-65,-2.52,2590,2625,2500,725051,1840211248,279241917600,111251760,STK
003120,KR7003120003,일성아이에스,KOSPI,,20600,2,-450,-2.14,21300,21300,20550,5115,106069400,273980000000,13300000,STK
013890,KR7013890009,지누스,KOSPI,,12260,1,10,0.08,12330,12430,12220,13947,171615350,272841101760,22254576,STK
000320,KR7000320002,노루홀딩스,KOSPI,,20450,2,-350,-1.68,20850,21150,20400,19453,400198850,271804037950,13291151,STK
007160,KR7007160005,사조산업,KOSPI,,54300,1,500,0.93,53900,56100,53300,8045,440803000,271500000000,5000000,STK
000430,KR7000430009,대원강업,KOSPI,,4365,2,-30,-0.68,4445,4570,4345,310432,1382335762,270630000000,62000000,STK
092790,KR7092790005,넥스틸,KOSPI,,10320,2,-280,-2.64,10610,10640,10320,144985,1512258750,268340640000,26002000,STK
001460,KR7001460005,BYC,KOSPI,,42950,1,700,1.66,42550,43150,42200,2528,107697700,268272142500,6246150,STK
004360,KR7004360004,세방,KOSPI,,13900,2,-200,-1.42,14100,14160,13870,38205,534835610,265706881700,19115603,STK
000680,KR7000680009,LS네트웍스,KOSPI,,3370,1,75,2.28,3300,3405,3295,174573,584103232,265566163920,78803016,STK
096760,KR7096760004,JW홀딩스,KOSPI,,3545,1,85,2.46,3450,3555,3450,61527,215136718,262063919390,73924942,STK
108670,KR7108670001,LX하우시스,KOSPI,,28950,1,450,1.58,28500,29150,28500,15376,443633425,259614046500,8967670,STK
035150,KR7035150002,백산,KOSPI,,12520,2,-90,-0.71,12690,12690,12460,14771,184862660,257397014840,20558867,STK
007860,KR7007860000,서연,KOSPI,,10910,1,900,8.99,10450,11990,10450,2100695,23642825845,256165098040,23479844,STK
122900,KR7122900004,아이마켓코리아,KOSPI,,7640,1,20,0.26,7640,7670,7600,18579,141651535,255396337600,33428840,STK
003220,KR7003220001,대원제약,KOSPI,,11350,2,-10,-0.09,11440,11500,11290,23592,267158995,254553067050,22427583,STK
033920,KR7033920000,무학,KOSPI,,8900,1,10,0.11,8890,8930,8800,15231,134997705,253650000000,28500000,STK
005500,KR7005500004,삼진제약,KOSPI,,18930,2,-140,-0.73,19240,19280,18900,19999,379212090,252147600000,13320000,STK
001790,KR7001790005,대한제당,KOSPI,,2785,3,0,0.0,2780,2800,2765,194661,541923442,249804975300,89696580,STK
078520,KR7078520004,에이블씨엔씨,KOSPI,,9540,2,-190,-1.95,9700,9730,9490,100479,960982265,248175095940,26014161,STK
002900,KR7002900009,TYM,KOSPI,,5990,1,10,0.17,5980,6060,5880,162397,970097395,247986000000,41400000,STK
037710,KR7037710001,광주신세계,KOSPI,,31000,1,50,0.16,30750,31100,30750,4725,146382075,246672890000,7957190,STK
084010,KR7084010008,대한제강,KOSPI,,10710,2,-310,-2.81,11090,11090,10630,34041,364973845,245413191870,22914397,STK
011500,KR7011500006,한농화성,KOSPI,,15550,2,-30,-0.19,15560,15760,15270,79665,1238748790,243156003100,15637042,STK
001130,KR7001130004,대한제분,KOSPI,,142600,1,100,0.07,141500,143800,141500,1292,184243600,240994000000,1690000,STK
244920,KR7244920005,에이플러스에셋,KOSPI,,10600,1,720,7.29,9810,10670,9810,202874,2109610610,239641545800,22607693,STK
